"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/1995","6.3875","6.2525","6.4625","6.2225","","2.04%"
"08/01/1995","6.2600","6.1050","6.3700","6.0900","","2.54%"
"07/01/1995","6.1050","6.2450","6.2650","5.9720","","-2.32%"
"06/01/1995","6.2500","6.1700","6.3100","6.0650","","1.05%"
"05/01/1995","6.1850","5.9050","6.2550","5.7550","","4.56%"
"04/01/1995","5.9150","6.7950","6.8150","5.7650","","-12.82%"
"03/01/1995","6.7850","5.9550","7.6950","5.8850","","13.75%"
"02/01/1995","5.9650","5.7150","6.1250","5.2550","","3.92%"
"01/01/1995","5.7400","4.9500","6.6000","4.8200","","14.80%"
"12/01/1994","5.0000","3.5395","5.7500","3.5270","","45.31%"
"11/01/1994","3.4410","3.4370","3.4525","3.4210","","0.09%"
"10/01/1994","3.4380","3.3955","3.4395","3.3929","","1.25%"
"09/01/1994","3.3955","3.3905","3.4237","3.3505","","0.21%"
"08/01/1994","3.3885","3.4005","3.4135","3.2925","","-0.28%"
"07/01/1994","3.3980","3.3870","3.4084","3.3845","","0.16%"
"06/01/1994","3.3925","3.3185","3.3935","3.3145","","2.18%"
"05/01/1994","3.3200","3.2670","3.3450","3.2620","","1.68%"
"04/01/1994","3.2650","3.3650","3.3718","3.2600","","-2.83%"
"03/01/1994","3.3600","3.1600","3.3600","3.1600","","5.83%"
"02/01/1994","3.1750","3.1050","3.2250","3.1050","","2.25%"
"01/01/1994","3.1050","3.1150","3.1250","3.1050","","-0.16%"
"12/01/1993","3.1100","3.1000","3.1200","3.1000","","0.16%"
"11/01/1993","3.1050","3.1350","3.2650","3.1050","","-0.80%"
"10/01/1993","3.1300","3.1200","3.1300","3.1000","","0.32%"
"09/01/1993","3.1200","3.1100","3.1200","3.1000","","0.32%"
"08/01/1993","3.1100","3.1100","3.1200","3.1000","","-0.16%"
"07/01/1993","3.1150","3.1250","3.1350","3.1150","","-0.48%"
"06/01/1993","3.1300","3.1200","3.1300","3.1000","","0.32%"
"05/01/1993","3.1200","3.1100","3.1500","3.1000","","0.32%"
"04/01/1993","3.1100","3.0900","3.1200","3.0900","","0.65%"
"03/01/1993","3.0900","3.1000","3.1200","3.0900","","-0.32%"
"02/01/1993","3.1000","3.1100","3.1000","3.0900","","-0.32%"
"01/01/1993","3.1100","3.1200","3.1600","3.0900","","-0.32%"
"12/01/1992","3.1200","3.1100","3.1400","3.1100","","0.32%"
"11/01/1992","3.1100","3.1200","3.1300","3.1100","","-0.32%"
"10/01/1992","3.1200","3.1100","3.1400","3.1100","","0.32%"
"09/01/1992","3.1100","3.0700","3.1200","3.0600","","1.14%"
"08/01/1992","3.0750","3.1150","3.1150","3.0750","","-1.13%"
"07/01/1992","3.1100","3.1200","3.1200","3.1000","","-0.32%"
"06/01/1992","3.1200","3.1100","3.1200","3.1100","","0.32%"
"05/01/1992","3.1100","3.0800","3.1200","3.0800","","0.97%"
"04/01/1992","3.0800","3.0600","3.0800","3.0600","","0.65%"
"03/01/1992","3.0600","3.0600","3.0900","3.0600","","0.00%"
"02/01/1992","3.0600","3.0600","3.0700","3.0600","","-0.16%"
"01/01/1992","3.0650","3.0750","3.0850","3.0650","","-0.16%"
"12/01/1991","3.0700","3.0600","3.0900","3.0600","","0.33%"
"11/01/1991","3.0600","3.0700","3.0800","3.0600","","-0.33%"
"10/01/1991","3.0700","3.0600","3.0700","3.0600","","0.33%"
"09/01/1991","3.0600","3.0500","3.0600","3.0400","","0.66%"
"08/01/1991","3.0400","3.0400","3.0500","3.0400","","0.00%"
"07/01/1991","3.0400","3.0200","3.0400","3.0200","","0.66%"
"06/01/1991","3.0200","3.0100","3.0200","3.0100","","0.33%"
"05/01/1991","3.0100","3.0000","3.0100","3.0000","","0.33%"
"04/01/1991","3.0000","2.9900","3.0000","2.9700","","0.67%"
"03/01/1991","2.9800","2.9700","2.9800","2.9700","","0.34%"
"02/01/1991","2.9700","2.9600","2.9700","2.9600","","0.34%"
"01/01/1991","2.9600","2.9500","2.9600","2.9400","","0.34%"
"12/01/1990","2.9500","2.9400","2.9500","2.9400","","0.34%"
"11/01/1990","2.9400","2.9200","2.9400","2.9200","","0.68%"
"10/01/1990","2.9200","2.9000","2.9200","2.8900","","0.69%"
"09/01/1990","2.9000","2.8900","2.9000","2.8800","","0.69%"
"08/01/1990","2.8800","2.8700","2.8900","2.8600","","0.35%"
"07/01/1990","2.8700","2.8600","2.8700","2.8600","","0.35%"
"06/01/1990","2.8600","2.8300","2.8600","2.8300","","0.90%"
"05/01/1990","2.8345","2.8345","2.8345","2.8345","","1.34%"
"04/01/1990","2.7970","2.7970","2.7970","2.7970","","1.01%"
"03/01/1990","2.7690","2.7690","2.7690","2.7690","","1.13%"
"02/01/1990","2.7380","2.7380","2.7380","2.7380","","1.00%"
"01/01/1990","2.7110","2.7110","2.7110","2.7110","","1.27%"
